International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1980&end=2014&vs=INTL.44-1-AFRC-QBTU.A~INTL.44-1-ASOC-QBTU.A~INTL.44-1-CSAM-QBTU.A~INTL.44-1-EURA-QBTU.A~INTL.44-1-EURO-QBTU.A~INTL.44-1-MIDE-QBTU.A~INTL.44-1-NOAM-QBTU.A~INTL.44-1-WORL-QBTU.A&c=4100000002000060000000000000g000200000000000000001&pa=rjugfvg000000000000000000000000000vg018001&f=A&ug=g&ct=1&tl_type=a&tl_id=1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 20 2016 08:13:38 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Secondary Coal,1000 ST,85713,67465,64853,54030,47846,49766,46287,47737,43936,50293,53301,57050,57983,60558,62794,56661,57966,61500,59905,56760,60180,64368,63858,,
,Metallurgical Coke,1000 ST,85713,67465,64853,54030,47846,49766,46287,47737,43936,50293,53301,57050,57983,60558,62794,56661,57966,61500,59905,56760,60180,64368,63858,NA,
,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,1000 bbl/d,11301,10313,8789,7868,7253,7142,7044,7214,7263,7640,8185,8774,9429,10424,11347,11766,12214,12688,12639,13025,13366,13493,13608,13782,13905
,"Crude Oil, NGPL, and Other Liquids",1000 bbl/d,11400,10412,8846,7879,7282,7148,7061,7225,7264,7632,8165,8756,9414,10402,11321,11741,12182,12650,12595,12984,13329,13451,13565,13737,13862
,Crude Oil including Lease Condensate,1000 bbl/d,10975,9992,8541,7576,6995,6874,6775,6917,6936,7298,7808,8374,9017,9861,10708,11120,11529,11974,11905,12270,12569,12646,12718,12872,12967
,NGPL,1000 bbl/d,425,420,305,303,278,274,286,300,323,331,351,375,391,503,606,612,645,666,679,699,744,789,831,848,878
,Other Liquids,1000 bbl/d,,,,,,,,7.3,4.4,3,4.7,5.1,5.5,6.1,6.9,7.4,8.1,8.8,10,14,14,15,15,17,17
,Refinery Processing Gain,1000 bbl/d,-99,-99,-57,-12,-29,-6.6,-17,-11,-1.1,7.5,20,18,15,22,26,25,32,38,44,40,37,41,43,45,43
,Refined Petroleum Products,1000 bbl/d,9230,8745,7504,6343,5541,5393,4967,4966,4665,4797,4931,5384,5477,5605,5900,6145,6313,6204,6412,6475,6797,6927,6939,NA,
